coin_number,short_id,spot_type,spot_description,confidence,review_basis
49,59yaFjAkenU,drain_cover_gap,"In between a square drain cover frame and a metal flap, on soil under small plants.",high,"end6 contact sheet"
50,V4umLWrpR6o,pipe_corner_gap,"Behind a white drainpipe, in between the pipe and wall corner.",medium,"full1 plus end6 contact sheets"
51,gHF4jr5evcg,roots_walkway_edge,"Under roots and vines, beside a blue pebble-wash walkway edge.",high,"end6 contact sheet"
52,2EP8jD2OSpc,hedge_wall_edge,"Beside a hedge, on the concrete edge of a low planter wall.",medium,"end6 contact sheet"
53,buM7VTC_dMc,drain_paving_seam,"In the seam beside a linear drain grate, between the concrete drain edge and paving slab.",high,"end6 contact sheet"
54,_RQDqAikyLk,fence_base_plants,"Under strap leaves, beside a green fence or railing base, on pebble-wash concrete.",high,"end6 contact sheet"
55,0oh8kasxHjU,brick_border_soil,"Under the red brick planter border, on soil below the edge.",high,"end6 contact sheet"
56,nJ-iGtHKUAg,bench_side_gap,"Behind a green metal bench side panel, beside plants and stone paving.",high,"full1 plus end6 contact sheets"
57,i0DNRLb7QQQ,tree_planter_crack,"In between the red brick planter wall and the tree base, inside the crack.",high,"full1 plus end6 contact sheets"
58,70Svmr4Cl_o,hedge_planter_edge,"Beside the hedge, on top of the low concrete planter wall edge.",medium,"full1 plus end6 contact sheets"
59,qsHZENDy3W4,planter_wall_opening,"Inside a rectangular opening in the top of the low concrete planter wall, under the hedge.",high,"full1 plus end10 plus end6 contact sheets"
60,-uKx_Je2Y-k,utility_box_base,"Beside a yellow utility box base, in grass at the bottom corner.",high,"full1 plus end6 contact sheets"
61,Ge9J0Hk_bw4,bench_underside,"Under a blue bench, below the seat panel.",high,"end6 contact sheet"
63,Tz5SpqYf7tI,concrete_overhang_gap,"Under a rough concrete overhang, in between the slab and the ground.",high,"end6 contact sheet"
64,hl_eLa3judA,pebble_planter_edge,"Beside a pebble-wash planter edge, under strap leaves.",high,"end6 contact sheet"
66,JxRydjhEERY,bench_slat_gap,"In between the wooden bench slats and the concrete planter edge, beside grass.",high,"full1 plus end6 contact sheets"
67,f4_hWZz9TWE,utility_cover_lip,"Under the lip of a yellow utility cover, beside grass.",high,"end6 contact sheet"
68,AYohbCkHxJ4,brick_grass_edge,"Beside the red brick border, at the grass edge.",high,"end6 contact sheet"
69,eIHs32K2SCA,bench_side_gap,"Behind a green metal bench side panel, beside plants and stone paving.",high,"full1 plus end6 contact sheets"
70,vMJFTF2k-6I,wall_vine_crack,"Under small vines, beside a wall, inside a ledge crack.",high,"end6 contact sheet"
71,qwt0EqdPwzs,brick_pebble_border,"In between the brick edging and pebble-wash walkway, beside grass.",medium,"full1 plus end10 plus end6 contact sheets"
72,s8br74UBLOM,brick_border_soil,"Under the red brick wall edge, on soil beside grass.",high,"end6 contact sheet"
74,nRO2JPJ7FZM,grass_path_edge,"In the grass, beside a pebble-wash path edge.",medium,"end10 plus end6 contact sheets"
